"Sample_id","Serotype","AAC6APH2","ANT6IA3KF864551","ANT6IA","APH3III","CATPC194","CATQ","ERMA","ERMB","ERMT","LNUB","LNUC","LSAC","LSAE","MEFA","MSRD","TETB","TETL","TETM","TETO32O","TETOW32OWO","TETOW32O","TETOWO","TETOW","TETO","TETSM","TETS","TETW32O","TETW4FN396364"
"79_S79_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"7_S7_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"80_S80_L001_R","III","neg","pos","pos","pos","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","pos","neg","neg","neg","neg"
"82_S82_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"83_S83_L001_R","V","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"84_S84_L001_R","II","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"85_S85_L001_R","III","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"86_S86_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"87_S87_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"88_S88_L001_R","III","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"89_S89_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"8_S8_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"90_S90_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"91_S91_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"92_S92_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"95_S95_L001_R","II","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","pos","neg","neg","neg","neg"
"97_S97_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"98_S98_L001_R","Ib","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"99_S99_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"9_S9_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"93_S93_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
